System ID,UPC,EAN,Custom SKU,Manufact. SKU,Item,Vendor ID,Qty.,Price,Tax,Brand,Publish to eCom,Season,Department,MSRP,Tax Class,Default Cost,Vendor,Category,Subcategory 1,Subcategory 2,Subcategory 3,Subcategory 4,Subcategory 5,Subcategory 6,Subcategory 7,Subcategory 8,Subcategory 9
2.1E+11,8.10028E+11,2.1E+11,,,Puffco Cupsy Stealth Portable Bubbler,,0,$72.99 ,Yes,Puffco,Yes,,,72.99,Item,45,Turning Point Brands,Cannabis Accessories,Bongs/Bubblers,,,,,,,,
2.1E+11,6.28045E+11,2.1E+11,65035,01006280451019041325100710P251007VP01,EndGame Hard Hitters Tropic Punch Indica Liquid Diamonds Cartridge 1G,65035,56,$31.30 ,Yes,Endgame,Yes,,,31.3,GST Only,21.91,MBLL,Cannabis,Cartridges / Disposables,,,,,,,,
2.1E+11,6.28045E+11,2.1E+11,65057,01006280451035021325022610P250226DR01,EndGame Hard Hitters Cloud Berry Hybrid Liquid Diamond Dispenser 1G,65057,0,$30.75 ,Yes,Endgame,Yes,,,30.75,GST Only,21.51,MBLL,Cannabis,Concentrates,,,,,,,,
2.1E+11,6.28045E+11,,61090,01006280451032671324082610P240826DM01,BAM Tropical Zest Diamonds & Terp Sauce 1.2G,61090,0,$31.99 ,Yes,BAM,No,,,31.99,GST Only,20.67,MBLL,Cannabis,Concentrates,,,,,,,,
2.1E+11,6.28045E+11,,63076,01006280451014781324112610P241126VP02,Lunch Tropicane Sativa Disposable 1.2G,63076,0,$30.50 ,Yes,lunch,Yes,,,30.5,GST Only,21.36,MBLL,Cannabis,Cartridges / Disposables,,,,,,,,
2.1E+11,62811018020,2.1E+11,66192,01006281101802091325061110F10400021,Spark MoonRocks RapidSense THC Tablets 15X10MG,66192,0,$16.90 ,Yes,Spark,Yes,,,16.9,GST Only,11.9,MBLL,Cannabis,Oils Ingested,,,,,,,,
2.1E+11,62811018024,2.1E+11,66193,01006281101802471325061810F10600015,Spark MoonRocks RapidSense THC Tablets 50X10MG,66193,0,$44.99 ,Yes,Spark,Yes,,,44.99,GST Only,33.09,MBLL,Cannabis,Oils Ingested,,,,,,,,
2.1E+11,62811018006,2.1E+11,66199,,Spark RapidSense THC Live Rosin MoonDrops 500X1MG,66199,83,$40.99 ,Yes,Spark,Yes,,,40.99,GST Only,29.78,MBLL,Cannabis,Oils Ingested,,,,,,,,
2.1E+11,62811018004,2.1E+11,66196,01006281101800491325052010F11200002,Halo RapidSense Lift CBG/THC 3:1 Tablets X30,66196,8,$22.99 ,Yes,,Yes,,,22.99,GST Only,16.54,MBLL,Cannabis,Oils Ingested,,,,,,,,
2.1E+11,62811018001,2.1E+11,66197,01006281101800181325050110F10800005,Halo RapidSense CBD Tablets 100MGX30,66197,0,$39.99 ,Yes,,Yes,,,39.99,GST Only,29.78,MBLL,Cannabis,Oils Ingested,,,,,,,,
2.1E+11,62811018019,2.1E+11,66195,01006281101801931325061910F11000005,Spark RapidSense 1:1 MoonRock Tablets 10MGX30,66195,0,$36.99 ,Yes,Spark,Yes,,,36.99,GST Only,26.46,MBLL,Cannabis,Oils Ingested,,,,,,,,
